CommunistAgressive,d0,d1,d2,,,288,443,1
CommunistAgressive,d0,d1,,,,231,557,1
CommunistAgressive,d0,,,,,35,99,1
Boss,d0,,,,,21,166,1
CommunistDefensive,d0,,,,,81,125,1
Nailer,d0,,,,,61,168,2
CommunistAgressive,l0,l1,l2,,,28,168,1
CommunistAgressive,l0,,,,,50,250,2
CommunistDefensive,l0,,,,,8,59,1
Boss,l0,,,,,12,96,1
BorderControl,l0,l1,l2,l3,,57,303,3
Nailer,l0,l1,,,,20,167,1
Nailer,l0,l1,l2,,,20,151,1
CommunistDefensive,l0,l1,,,,28,197,1
BorderControl,l0,,,,,8,65,1
CommunistAgressive,l0,l1,l2,l3,,49,285,1
Boss,l0,l1,l2,l3,,21,137,1
BorderControl,l0,l1,l2,l3,l4,38,290,1
BorderControl,l0,l1,l2,,,33,136,4
CommunistDefensive,l0,l1,l2,,,26,189,1
CommunistAgressive,l0,l1,,,,13,83,1
Boss,l0,l1,,,,10,74,1
CommunistDefensive,l0,l1,l2,l3,,27,201,1
CommunistAgressive,l0,l1,l2,l3,l4,26,211,1
Boss,l0,l1,l2,l3,l4,17,126,1
Nailer,l0,l1,l2,l3,,40,248,1
Boss,l0,l1,l2,,,12,88,1
CommunistDefensive,l0,l1,l2,l3,l4,37,226,1
Nailer,l0,,,,,59,422,2
Nailer,l0,l1,l2,l3,l4,55,341,1
Boss,d0,d1,d2,,,32,258,1
Nailer,d0,d1,d2,d3,d4,156,450,3
Nailer,d0,d1,,,,212,787,3
Nailer,d0,d1,d2,d3,,6,24,5
CommunistDefensive,d0,d1,d2,,,41,143,1
CommunistDefensive,d0,d1,d2,d3,d4,149,278,1
CommunistDefensive,d0,d1,,,,83,162,1
BorderControl,d0,d1,d2,,,18,233,1
Boss,d0,d1,d2,d3,d4,26,110,6
CommunistDefensive,d0,d1,d2,d3,,84,210,5
Boss,d0,d1,d2,d3,,13,55,5
BorderControl,d0,d1,d2,d3,d4,20,82,6
CommunistAgressive,d0,d1,d2,d3,d4,84,178,4
BorderControl,d0,d1,d2,d3,,28,297,1
CommunistAgressive,d0,d1,d2,d3,,26,95,5
Boss,d0,d1,,,,10,81,1
Nailer,d0,d1,d2,,,37,124,4
BorderControl,d0,,,,,9,121,1
CommunistAgressive,d0,d1,d2,,,132,202,1
CommunistAgressive,d0,d1,,,,50,111,1
CommunistAgressive,d0,,,,,24,83,1
Boss,d0,,,,,47,137,2
CommunistDefensive,d0,,,,,179,253,1
Nailer,d0,,,,,336,2162,1
CommunistAgressive,l0,l1,l2,,,33,267,1
CommunistAgressive,l0,,,,,14,124,1
CommunistDefensive,l0,,,,,12,107,1
Boss,l0,,,,,11,87,1
BorderControl,l0,l1,l2,l3,,37,165,5
Nailer,l0,l1,,,,25,166,1
Nailer,l0,l1,l2,,,20,151,1
CommunistDefensive,l0,l1,,,,26,142,3
BorderControl,l0,,,,,10,91,1
CommunistAgressive,l0,l1,l2,l3,,18,123,1
Boss,l0,l1,l2,l3,,12,101,1
BorderControl,l0,l1,l2,l3,l4,40,355,1
BorderControl,l0,l1,l2,,,22,107,4
